name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[34769.143998400425, 31806.195671534864, 16554.395818936708, 6301.30723458532, 33881.78876744943, 5972.06106791169, 36321.35320590513, 0.0, 35157.60602677085, 36602.321764241206, 0.0, 25401.567959989847, 21818.50515770065, 3894.609422605046, 24939.054079988342, 41535.49302482993, 31400.569961299057, 10710.171108880842, 29315.19641600153, 38276.841939458085, 46537.67027200646, 32014.395772964002, 6687.1158947975055, 37713.810488103714, 25973.85124482936, 34144.406677593885, 7839.380894520756, 26033.807454469126, 38305.51118296423, 24967.54244778982, 26901.775023890325, 41283.38767359816, 14797.741945642763, 30135.24823128854, 9939.74483084116, 32884.69752856826, 26825.729809642984]"
elevation,"[94.34747314453125, 118.7910537719727, 80.76605224609375, 97.2056884765625, 118.8156967163086, 100.2648086547852, 91.85712432861328, 64.29190826416016, 96.72929382324219, 112.6708374023438, 69.65025329589844, 61.01394271850586, 86.61162567138672, 84.43424224853516, 76.99053955078125, 66.95014953613281, 90.22052764892578, 89.48521423339844, 98.17140197753906, 81.33153533935547, 87.72288513183594, 101.2719039916992, 86.83146667480469, 76.70394897460938, 81.32254791259766, 78.5000228881836, 72.42009735107422, 83.38584899902344, 121.748176574707, 91.85712432861328, 67.03428649902344, 87.38848114013672, 89.03038787841797, 64.91080474853516, 79.42804718017578, 60.38272857666016, 61.94200134277344, 98.5074691772461, 123.7596206665039, 93.93919372558594, 66.22561645507812, 102.4352569580078, 86.4900131225586, 103.3893280029297, 86.9661865234375, 93.64939880371094, 119.5057220458984, 109.041748046875, 93.89424133300781, 95.41341400146484, 82.39290618896484, 80.14733123779297, 60.61790466308594, 93.81158447265625, 86.331787109375, 121.4640579223633, 73.2457046508789, 95.61941528320312, 89.50757598876953, 126.9359664916992]"
color,red
