name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[27066.779718536895, 41719.33264762843, 30930.988941898413, 20673.92113479012, 2355.5484825051512, 32682.786815816737, 24775.5322866173, 21230.826146916363, 37541.16994524422, 7428.287613365212, 27058.847485453854, 39282.899044211284, 30560.38416196532, 20372.34827564044, 35774.74802838313, 24886.77361378512, 22535.917728234985, 57519.778296157936, 19909.518932817944, 29983.05467797888, 9839.42185166824, 26421.958923109807, 30129.186447673095, 20136.408614867552, 23920.69349459755, 4190.478184855505, 34369.627858645144, 40347.15435281317, 30156.89753865412, 44755.88524734614, 31856.13227409664, 19001.11579674163, 41203.022254562915, 17026.573182420736]"
elevation,"[67.8677978515625, 96.08435821533203, 79.18058013916016, 88.16868591308594, 104.4395217895508, 80.98799133300781, 67.00320434570312, 67.57839965820312, 99.9918212890625, 80.71588134765625, 93.90033721923828, 83.21397399902344, 93.55643463134766, 91.1103286743164, 73.4939956665039, 79.97019958496094, 89.26875305175781, 99.60428619384766, 91.05177307128906, 66.66173553466797, 72.09932708740234, 76.99281311035156, 71.56770324707031, 94.8521957397461, 88.49737548828125, 94.03607177734375, 105.8801193237305, 91.32209777832031, 66.1696548461914, 84.6922378540039, 121.922607421875, 80.71588134765625, 110.0476760864258, 107.2053146362305, 83.42646026611328, 104.8801116943359, 91.97073364257812, 79.30929565429688, 80.94865417480469, 86.48918914794922, 66.95014953613281, 87.63103485107422, 92.95405578613281, 83.00128173828125, 104.1343002319336, 73.2950210571289, 104.2855377197266, 111.9920654296875, 131.7491302490234]"
color,blue
