name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[163037.7775065469, 140781.57783700447, 148426.20117660455, 150170.2049365433, 162015.58348568267, 163212.65505761807]"
elevation,"[84.8176040649414, 76.88751983642578, 91.26464080810547, 81.70470428466797, 85.30667877197266, 72.0140151977539, 78.6712417602539, 84.229248046875, 77.00885009765625, 92.79524993896484, 84.03461456298828, 94.25721740722656, 93.05990600585938, 91.35409545898438, 90.31078338623047, 91.2485580444336]"
color,green
