name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[29454.49963288834, 9157.856922815587, 35297.39322832151, 0.0, 38373.27143397491, 25902.567043040075, 37190.51809249469, 48315.57618839514, 35491.14675576544, 35227.664130380384, 5131.731144288076, 53977.29159206616, 39157.39280758486, 38722.75671783921, 19338.674780640882, 20426.952434597042, 42601.13596310031, 37811.40724784914, 34717.369116345784, 9384.439586907556, 15144.855703615733, 43429.53022202822, 36844.0739609197, 29580.21466859234, 17820.991807838163, 3896.508218149359, 37165.58101813303, 43868.66048909128, 11361.72021584837, 18964.44406453818, 6662.186270874789, 39031.750724256024, 18492.7936824082, 9701.044134411513]"
elevation,"[77.61299896240234, 66.39148712158203, 108.8954772949219, 79.79915618896484, 93.01373291015625, 72.78966522216797, 88.39347839355469, 79.0503921508789, 90.3667984008789, 89.01040649414062, 102.8711929321289, 96.28038787841797, 72.87556457519531, 115.9494018554688, 76.99281311035156, 93.00920104980469, 102.9988555908203, 123.7596206665039, 66.12474822998047, 96.08435821533203, 80.20835876464844, 75.76913452148438, 83.80098724365234, 93.54603576660156, 86.331787109375, 81.97993469238281, 101.4261703491211, 85.20523834228516, 96.03089141845703, 101.4397888183594, 88.90980529785156, 93.31581115722656, 89.01040649414062, 80.65392303466797, 103.2996520996094, 119.9281463623047, 83.96570587158203, 73.4939956665039, 94.65296936035156, 117.6118240356445, 69.76908874511719, 100.7399749755859, 94.03607177734375, 78.8108139038086, 112.7373046875, 97.84284973144531, 71.56770324707031, 109.8981399536133, 111.8735809326172]"
color,blue
