name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[145318.7494249551, 149814.99908275655, 160413.4513793981, 146730.57101870741, 167615.55452688408, 157750.6745672988]"
elevation,"[66.13834381103516, 107.284782409668, 75.14202880859375, 87.38848114013672, 82.44756317138672, 80.15778350830078, 67.15283966064453, 60.35400009155273, 102.5135726928711, 81.75701141357422, 94.39983367919922, 93.05990600585938, 82.89774322509766, 94.25721740722656, 81.75701141357422, 90.31078338623047]"
color,green
