name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[30786.3653868302, 28112.921001587027, 6623.602741512839, 34018.82652248227, 32541.67137414441, 26174.990146954293, 33290.46898268342, 5259.149258638276, 34224.920641813944, 37023.51191755183, 28763.81357179871, 22954.390196185268, 22783.07717638148, 40732.425172650976, 10339.711008861505, 26520.244472833936, 36582.590062914525, 31688.649074852965, 2828.354816386902, 30956.164421487905, 30393.79323445973, 29013.138701384658, 30889.25891019945, 13222.45023198962, 27290.936138909485, 2336.3798663327384, 14712.703624300382, 25847.748489833033, 27110.99514641555, 30922.593777104543, 33694.054312201115, 21360.1419482382, 2992.4708750289865, 7809.01195924342, 33306.14648771058, 36750.913402479724, 37785.41494561611]"
elevation,"[111.3281631469727, 95.040283203125, 59.42875289916992, 95.77420806884766, 69.463134765625, 67.15677642822266, 116.4461135864258, 73.95166015625, 91.91425323486328, 80.06382751464844, 89.2109603881836, 91.07538604736328, 65.183837890625, 91.3288345336914, 121.7749099731445, 104.2955780029297, 82.92935943603516, 102.0520782470703, 92.15802001953125, 82.25117492675781, 93.05990600585938, 122.2196655273438, 83.6648941040039, 88.21559143066406, 74.54058837890625, 85.79251861572266, 85.08980560302734, 86.50165557861328, 94.89147186279297, 65.1242904663086, 115.5641632080078, 86.331787109375, 82.86662292480469, 75.36957550048828, 84.87889099121094, 102.4877624511719, 114.1827545166016, 59.14026641845703, 99.9918212890625, 79.33454895019531, 86.20877075195312, 94.9198226928711, 121.1611862182617, 109.9710159301758, 99.98003387451172, 86.61162567138672, 89.69364929199219, 71.56770324707031, 66.79484558105469, 66.4613265991211, 108.0175399780273, 91.97073364257812, 87.75762939453125, 93.81158447265625, 67.9789047241211, 126.4064331054688, 123.8729248046875, 79.24876403808594, 83.16873931884766, 100.7399749755859]"
color,red
