name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[154166.18732182102, 164038.6163990397, 160121.51798279426, 145318.7494249551, 160334.78455898436, 143664.14431240555]"
elevation,"[90.22052764892578, 111.9920654296875, 69.18778228759766, 66.14737701416016, 117.3570098876953, 97.85739135742188, 102.5135726928711, 103.6523056030273, 86.61162567138672, 90.93179321289062, 93.05990600585938, 84.03461456298828, 90.31078338623047, 94.39983367919922, 82.89774322509766, 94.25721740722656]"
color,green
