name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[146621.03413797074, 165248.07022537256, 150575.56453008112, 136976.65822993367, 159912.97110212216, 168309.70177451978]"
elevation,"[118.1316833496094, 65.63887786865234, 110.7159805297852, 97.42322540283203, 89.2109603881836, 113.4906616210938, 116.8464736938477, 64.80397033691406, 91.242431640625, 84.17547607421875, 94.25721740722656, 91.50196838378906, 90.31078338623047, 94.63480377197266, 89.96885681152344, 88.29743194580078]"
color,green
