name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[22923.028961469154, 34266.46212663871, 33598.6081477129, 38777.90572942707, 33956.28297237041, 35784.55139032996, 27665.674325723507, 23142.841139481472, 43152.50070357706, 37468.34957431118, 33679.3065808919, 6324.882387346119, 30132.042088040467, 7720.252379913598, 26156.365276593417, 1.525087018447059, 13139.211819370918, 40957.64611521502, 28021.958500872508, 32254.6092856576, 22506.485593611233, 32370.599407358295, 33309.83275210911, 28367.75016659849, 6177.695277374792, 38110.17963100469, 32209.76407477383, 25302.189033463335, 30137.5372240529, 10130.987628515815, 26115.413420885023, 30028.488059792082, 35103.98720258119, 28649.085935917803]"
elevation,"[97.78245544433594, 103.5829925537109, 99.66693878173828, 79.01107788085938, 92.23977661132812, 128.5115509033203, 85.67959594726562, 97.85739135742188, 91.3288345336914, 94.3451919555664, 60.94126892089844, 109.9589157104492, 76.73247528076172, 101.1322402954102, 119.601203918457, 105.2732772827148, 123.7596206665039, 111.7689056396484, 75.14202880859375, 99.9918212890625, 112.5788345336914, 67.09941101074219, 84.35416412353516, 96.69680786132812, 94.63480377197266, 89.791259765625, 95.08090209960938, 92.75720977783203, 108.0421676635742, 72.78966522216797, 66.12621307373047, 65.1584701538086, 117.1934051513672, 81.57343292236328, 99.51127624511719, 119.0908660888672, 93.31428527832031, 80.71588134765625, 80.11135864257812, 118.0790176391602, 76.6094741821289, 97.27339172363281, 108.5775756835938, 83.21049499511719, 88.00657653808594, 79.0503921508789, 83.67630004882812, 82.57396697998047, 71.22937774658203]"
color,blue
