name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[160413.4513793981, 157750.6745672988, 167615.55452688408, 149814.99908275655, 145318.7494249551, 146730.57101870741]"
elevation,"[76.01204681396484, 84.17547607421875, 79.3683853149414, 82.28430938720703, 77.17558288574219, 83.67630004882812, 103.5478591918945, 98.22198486328125, 92.91754150390625, 107.3406066894531, 82.89774322509766, 90.31078338623047, 81.75701141357422, 93.05990600585938, 94.39983367919922, 94.25721740722656]"
color,green
