name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[26892.84877377571, 27751.59147946883, 25317.40856983083, 6633.128201729784, 13067.91873357409, 42528.844179923806, 29926.30733321948, 12036.857387850647, 12317.632570549635, 38608.80633596931, 38590.66427769651, 17990.748986629816, 5875.880182782711, 30886.162703762628, 45032.116455421376, 21311.3881250498, 29202.485082456835, 24465.48528430385, 18257.748481027935, 38931.1449709727, 8758.477274180168, 30374.922453559604, 33297.10378533052, 24831.877295884464, 31125.68633318699, 37310.393207569134, 26119.489079435873, 33923.70701359672, 20284.142719936324, 0.0, 27561.382364069512, 5786.599255608469, 26396.905101076238, 19593.054847075506, 33182.04707882778, 31020.050865477442, 32452.993209188982]"
elevation,"[94.32516479492188, 80.71588134765625, 110.7159805297852, 66.22561645507812, 83.21049499511719, 69.65025329589844, 85.51783752441406, 99.72673034667969, 82.6011962890625, 72.0140151977539, 64.37296295166016, 126.6624069213867, 88.55738067626953, 86.62735748291016, 78.92845916748047, 66.13834381103516, 101.2341613769531, 110.3034286499023, 83.61251831054688, 98.6445541381836, 78.53138732910156, 89.96885681152344, 100.1177825927734, 94.0855484008789, 114.1674957275391, 60.55253601074219, 83.61251831054688, 88.59751892089844, 98.28260803222656, 96.26573181152344, 65.65341186523438, 61.57269668579102, 122.2349395751953, 90.94251251220703, 60.94126892089844, 91.50727081298828, 103.09130859375, 73.65798950195312, 75.27442932128906, 95.15796661376953, 108.0200347900391, 115.4044189453125, 68, 78.40739440917969, 92.91754150390625, 85.15705871582031, 104.4639587402344, 82.71903991699219, 91.1103286743164, 88.33148956298828, 103.2081832885742, 89.23214721679688, 64.60342407226562, 80.81111907958984, 66.49698638916016, 97.53785705566406, 92.50637817382812, 91.35519409179688, 88.6154556274414, 75.14202880859375]"
color,red
