name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[27392.006100510745, 30864.236326689723, 36974.99360120582, 31194.70869951395, 44595.44341297992, 22424.527930157197, 39739.390214348205, 38435.398967441346, 13218.433611804103, 23882.45470282062, 32821.88287535946, 22994.13548185237, 31612.664592283803, 25595.846327853953, 32405.122860063308, 28827.709306717825, 34607.579955817986, 32070.82206325736, 32077.625442098775, 12616.208976031345, 34932.81274320932, 14193.61718035672, 4092.5870302501235, 30022.814428438505, 25758.690191122845, 22092.18112954619, 28801.36328101635, 26264.877751018026, 24908.192705676927, 22545.213997364048, 36668.38668581645, 30145.946753168617, 22532.07569354466, 10334.048980663414]"
elevation,"[63.31244277954102, 101.4397888183594, 87.01840209960938, 91.36124420166016, 54.71324920654297, 80.59698486328125, 75.14202880859375, 78.53138732910156, 95.08090209960938, 82.44756317138672, 86.39519500732422, 107.0729293823242, 93.43167877197266, 108.5950012207031, 84.99120330810547, 92.46151733398438, 83.81761169433594, 82.72358703613281, 88.03595733642578, 106.6128234863281, 96.34355163574219, 100.879150390625, 89.66757202148438, 61.08929824829102, 61.69599914550781, 94.33253479003906, 120.980598449707, 118.0629577636719, 96.95501708984375, 81.32254791259766, 74.54058837890625, 88.803466796875, 89.6551284790039, 76.2518081665039, 83.948486328125, 96.28038787841797, 100.0999069213867, 98.6417465209961, 88.22391510009766, 65.31446075439453, 70.89645385742188, 85.60298919677734, 76.60009765625, 88.45304107666016, 95.22029113769531, 89.08084106445312, 101.3294448852539, 107.2844390869141, 60.99977111816406]"
color,blue
