name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[144855.2336857395, 159004.75070749642, 169750.29161579337, 153474.38463538684, 152316.1584812703, 148243.1808743136]"
elevation,"[84.229248046875, 88.502685546875, 80.2555160522461, 101.8660202026367, 68.30973815917969, 92.79524993896484, 84.229248046875, 66.09471893310547, 104.4061279296875, 92.95405578613281, 93.76292419433594, 108.2659912109375, 81.75701141357422, 90.31078338623047, 94.19943237304688, 94.25721740722656]"
color,green
