name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[20341.42947874248, 25754.75391727044, 25906.721396704612, 30768.72471638544, 36689.42558603512, 30009.576301463963, 34836.10960578529, 34898.42074461148, 35576.36101149242, 32539.99727353863, 40851.167948859664, 32290.262811494395, 30001.19075491075, 48529.32581862885, 9306.204112076468, 27337.16185842518, 28467.71459133461, 2234.0101027221226, 33364.1880740784, 27357.213075704865, 39018.861316796625, 28462.958453597912, 3980.253522050716, 9638.016426586042, 24681.456850709834, 29033.288011754215, 33059.452394462074, 14862.670580160804, 32703.75605798063, 26035.679821684942, 8458.10749745244, 32259.38227701848, 34542.697563955924, 23847.46004552419]"
elevation,"[66.12137603759766, 116.957893371582, 95.34043884277344, 96.5937728881836, 60.78111267089844, 92.22705078125, 107.4597778320312, 76.1407699584961, 89.87716674804688, 81.01724243164062, 83.6028823852539, 81.32254791259766, 95.39720916748047, 108.5775756835938, 75.84325408935547, 66.48857116699219, 102.0068740844727, 92.50637817382812, 90.46481323242188, 93.84329223632812, 116.9955062866211, 94.39983367919922, 108.1672439575195, 89.03038787841797, 86.27891540527344, 107, 79.18058013916016, 80.98799133300781, 108.8954772949219, 81.4238052368164, 103.1244430541992, 83.49455261230469, 65.91082763671875, 86.331787109375, 76.99281311035156, 106.6128234863281, 77.88436889648438, 67.24932861328125, 94.33367156982422, 80.90451049804688, 95.34043884277344, 78.6712417602539, 66.1696548461914, 79.0503921508789, 88.3414306640625, 62.76974487304688, 106.806510925293, 82.44756317138672, 77.09346008300781]"
color,blue
