name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[174846.68284978304, 163371.725858845, 154003.52531079375, 155576.38082566575, 146393.09227433155, 133452.59288058098]"
elevation,"[82.86235809326172, 88.803466796875, 87.31314086914062, 76.95634460449219, 111.8775634765625, 109.8567962646484, 88.46910858154297, 82.86235809326172, 65.51932525634766, 85.41455078125, 94.8521957397461, 81.75701141357422, 90.31078338623047, 89.96885681152344, 94.25721740722656, 96.21031188964844]"
color,green
