name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[9436.322526196958, 3104.8698406302324, 47836.714258892534, 38084.28928954681, 43104.703995338125, 34744.60150943601, 27541.719887966887, 34452.46980577466, 10412.999293979145, 29437.148059965268, 3837.212065831745, 34844.894086348315, 41604.82917637643, 9623.327778148228, 49017.05809306019, 40045.317714616, 22823.447076666, 30178.016150317137, 7814.849680192348, 39339.066517722815, 2955.7089393036576, 41996.398377320205, 22242.108225724023, 7989.032926504198, 45021.48900735274, 32097.114015511044, 24654.177748306858, 31667.62180161311, 42406.60690805447, 10953.000706020859, 2400.2106418379412, 43302.42579338151, 49125.56340051596, 13548.684701547574]"
elevation,"[71.68037414550781, 80.63642120361328, 77.62855529785156, 91.1777114868164, 84.70918273925781, 104.0454330444336, 64.76193237304688, 88.46286010742188, 68.88689422607422, 85.88287353515625, 86.9661865234375, 73.88563537597656, 98.32369232177734, 108.1672439575195, 78.53138732910156, 83.15711975097656, 65.3112564086914, 103.2796783447266, 83.21397399902344, 89.55897521972656, 77.62855529785156, 76.73247528076172, 103.5478591918945, 83.18280792236328, 74.11455535888672, 109.4530868530273, 91.70486450195312, 103.3893280029297, 71.67915344238281, 97.6833724975586, 98.97831726074219, 83.49455261230469, 110.4968948364258, 116.623649597168, 76.23091888427734, 80.06382751464844, 88.36351776123047, 64.38510131835938, 96.57777404785156, 86.331787109375, 80.11135864257812, 82.92935943603516, 102.4127883911133, 94.04635620117188, 98.78909301757812, 66.43450164794922, 97.2056884765625, 112.1284790039062, 71.11714172363281]"
color,blue
