name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[155746.62823412952, 146541.32914474484, 155502.60652332017, 165808.06486865683, 142538.62215607232, 161506.74907307624]"
elevation,"[104.2597351074219, 95.39720916748047, 85.07205200195312, 91.07538604736328, 63.93447494506836, 93.04190826416016, 92.81430053710938, 88.21559143066406, 94.8521957397461, 65.51274108886719, 97.52143096923828, 94.25721740722656, 90.31078338623047, 93.93919372558594, 100.7717971801758, 91.50196838378906]"
color,green
