name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[176771.62730230458, 146246.02048473887, 156443.35992554738, 163554.4255207566, 146450.0501067609, 138178.51665989167]"
elevation,"[86.70884704589844, 82.53704071044922, 117.6774291992188, 81.53394317626953, 111.3281631469727, 76.42375183105469, 76.73247528076172, 63.96754837036133, 103.4525527954102, 105.8269195556641, 94.8521957397461, 90.31078338623047, 89.96885681152344, 81.75701141357422, 94.25721740722656, 96.21031188964844]"
color,green
