name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[25893.59582527802, 24922.5446304414, 29573.420334204275, 30528.333751257775, 35622.29577883328, 28099.69499274572, 36134.76483449365, 31770.158816391573, 16745.19388001798, 25642.569407583243, 29683.634615850948, 31399.976609470177, 31488.700825591244, 30532.150092475345, 39753.90530775657, 17552.8917456489, 22991.70996231342, 9925.445260255661, 2312.1783659444104, 38138.28550286174, 33145.470434110015, 18650.129949084163, 26426.68312391387, 2297.9206055259456, 22660.50545568714, 22334.98618817924, 31678.81355677176, 32902.66751613044, 33305.67186260727, 31914.57380073586, 34041.17718167478, 33842.46157817883, 1570.856036708592, 5278.617094574553, 30360.15349986458, 1.4796006198337053, 28520.381976217814]"
elevation,"[102.7141494750977, 60.35400009155273, 83.59007263183594, 103.3249435424805, 103.2081832885742, 86.331787109375, 81.51665496826172, 85.37747192382812, 79.93515014648438, 79.913818359375, 73.45234680175781, 76.57920837402344, 66.87445068359375, 66.6161880493164, 88.3414306640625, 92.23977661132812, 87.31939697265625, 66.33639526367188, 99.98003387451172, 103.4525527954102, 112.6653213500977, 88.75919342041016, 99.24262237548828, 86.72410583496094, 98.50931549072266, 108.0233840942383, 76.60009765625, 83.42991638183594, 83.42646026611328, 75.14202880859375, 105.8801193237305, 61.05709838867188, 84.09870910644531, 93.89424133300781, 104.4061279296875, 82.04747772216797, 118.8857040405273, 91.885498046875, 113.1711578369141, 76.99281311035156, 98.20606994628906, 63.78089904785156, 83.49455261230469, 75.72025299072266, 79.65473937988281, 122.2349395751953, 62.56337356567383, 116.1225814819336, 74.83297729492188, 101.4721221923828, 87.63103485107422, 85.17244720458984, 81.6485366821289, 100.2910385131836, 85.2865219116211, 57.08034896850586, 68.14263153076172, 97.90214538574219, 65.28311157226562, 119.5057220458984]"
color,red
