name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[161969.7139762597, 165248.07022537256, 150575.56453008112, 165215.68232836394, 138178.51665989167, 146456.45228003108]"
elevation,"[112.7373046875, 97.11434936523438, 76.23091888427734, 84.03028106689453, 113.0379486083984, 90.71480560302734, 81.6157455444336, 79.67252349853516, 86.11946868896484, 83.00128173828125, 89.96885681152344, 91.50196838378906, 90.31078338623047, 81.75701141357422, 96.21031188964844, 94.25721740722656]"
color,green
