name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[5949.761070001395, 43336.00025206166, 4000.602454909623, 9958.947562826612, 29262.091646912155, 29475.07234092064, 30620.2822505295, 0.0, 22562.55982077282, 30216.426313399956, 27977.099875820146, 11144.627837384272, 34460.49958686232, 34480.48849558522, 20900.54965656671, 25821.537982640188, 30898.430896938113, 49936.31154636553, 29487.271552744245, 38933.33841062229, 25757.788304832364, 34172.179014099, 0.0, 14396.946857564524, 29590.274669404993, 2265.4038504624987, 35278.98068855556, 27672.794588316585, 17905.42019968742, 33849.9811447538, 34560.48187482503, 37145.24364176551, 38719.439306961525, 4750.365860059679, 30125.225722490435, 23098.837951647147, 28932.736770710508]"
elevation,"[98.67851257324219, 107.7153015136719, 97.56964874267578, 63.76694488525391, 84.20521545410156, 101.7583465576172, 96.777587890625, 89.7790756225586, 105.5163879394531, 65.9769058227539, 97.25740051269531, 67.06400299072266, 71.45431518554688, 103.2996520996094, 82.61100006103516, 91.885498046875, 88.89850616455078, 104.7842864990234, 88.31633758544922, 80.66031646728516, 84.30439758300781, 102.7099075317383, 60.85905838012695, 64.00566864013672, 116.1438598632812, 67.69052124023438, 97.17274475097656, 88.90335845947266, 80.68321990966797, 89.01292419433594, 63.93447494506836, 111.502571105957, 91.81019592285156, 81.57343292236328, 104.8188705444336, 79.43054962158203, 102.7527542114258, 75.38143157958984, 106.13720703125, 89.63301086425781, 89.66757202148438, 92.29844665527344, 83.6028823852539, 91.0631103515625, 80.81111907958984, 67.77632904052734, 63.8621711730957, 72.09932708740234, 65.72210693359375, 79.7816162109375, 75.27442932128906, 121.7749099731445, 71.22310638427734, 87.07022094726562, 74.94701385498047, 89.2109603881836, 88.0689697265625, 105.8269195556641, 96.95182800292969, 118.0629577636719]"
color,red
