name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[44602.20980087872, 32279.77163601158, 38120.23474865464, 32270.29244187866, 8672.244245765847, 29399.997125491827, 40163.36369641406, 25907.001165105758, 35894.350271488394, 30454.729909500093, 2285.4876902873966, 32619.652940439082, 33148.00352156199, 20579.74587047019, 29312.833867738573, 30965.722256994588, 15788.87402314832, 34236.93709101113, 38694.17410310196, 11237.384789069178, 35657.31539947997, 40431.623186889075, 2390.512309712603, 39696.72205472858, 23425.30735035378, 29993.620613443778, 39862.70949742482, 2710.4910190783307, 23617.13009071992, 20907.366734700223, 36774.26100056347, 8086.065992999154, 40838.88897243983, 16618.974582454517]"
elevation,"[61.01394271850586, 85.17810821533203, 97.25740051269531, 90.79354095458984, 61.0694465637207, 95.2966537475586, 103.8609008789062, 72.63301086425781, 97.11541748046875, 99.60428619384766, 85.44506072998047, 85.2718505859375, 82.86235809326172, 88.00335693359375, 103.2996520996094, 114.7867431640625, 79.16568756103516, 83.52357482910156, 76.54216003417969, 107.6487274169922, 77.00885009765625, 96.4727783203125, 109.9710159301758, 102.7099075317383, 98.6129150390625, 66.59288787841797, 116.1438598632812, 86.9661865234375, 86.48918914794922, 106.0744018554688, 108.2898712158203, 76.72977447509766, 91.81019592285156, 76.23211669921875, 90.31436920166016, 89.63871765136719, 89.55897521972656, 68.24043273925781, 96.69680786132812, 59.2803955078125, 70.02952575683594, 83.12641143798828, 64.75108337402344, 72.63301086425781, 114.4605178833008, 91.26464080810547, 97.42322540283203, 89.95929718017578, 125.5187911987305]"
color,blue
