name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[22701.950924002107, 13855.73229577648, 36263.065354047576, 27715.70101574744, 25465.80247271095, 31860.992243226738, 11987.69663220423, 24448.973375758767, 37697.66460299701, 25035.490320652472, 14967.930403640616, 31221.4765416335, 26195.861317399686, 38038.4948538256, 33246.11067179897, 32898.580501282566, 29852.864489640517, 27273.601495796902, 26214.42366502842, 31488.689549556722, 28387.021109296416, 20038.39111314634, 27404.338138013627, 23933.26609659178, 34449.928351377675, 24296.734728691674, 25623.291157059954, 26442.115986971636, 28590.833659790307, 32347.53604211139, 27750.476318088622, 30443.32373101093, 17162.819006460028, 32342.82183466237]"
elevation,"[73.67526245117188, 102.8644561767578, 80.81111907958984, 109.6722259521484, 81.0790786743164, 103.1508483886719, 81.51665496826172, 70.02952575683594, 103.9819259643555, 100.7717971801758, 90.02320861816406, 82.24579620361328, 97.4975814819336, 101.2983551025391, 83.6028823852539, 103.8149032592773, 108.8839797973633, 84.6922378540039, 85.41704559326172, 109.5592575073242, 73.9028549194336, 108.1484298706055, 76.60009765625, 103.1723175048828, 81.57343292236328, 86.66329956054688, 111.8470458984375, 91.22756958007812, 94.63480377197266, 84.93040466308594, 80.14733123779297, 76.99281311035156, 98.52017974853516, 86.88968658447266, 89.50757598876953, 83.82154083251953, 79.63848876953125, 101.2802963256836, 82.72259521484375, 106.6128234863281, 79.73526763916016, 78.47431182861328, 105.8801193237305, 82.39290618896484, 92.2638931274414, 80.59698486328125, 97.53785705566406, 117.7504196166992, 74.99665832519531]"
color,blue
