name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[146752.6990305611, 162227.6401152722, 145318.7494249551, 167584.421377054, 155945.49096940097, 149814.99908275655]"
elevation,"[97.07392120361328, 65.61852264404297, 110.7159805297852, 94.25721740722656, 65.873291015625, 108.6226806640625, 118.4058074951172, 81.0790786743164, 66.12474822998047, 82.56766510009766, 94.25721740722656, 88.29743194580078, 94.39983367919922, 81.75701141357422, 90.31078338623047, 93.05990600585938]"
color,green
