name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[165215.68232836394, 165248.07022537256, 146456.45228003108, 161969.7139762597, 138178.51665989167, 150575.56453008112]"
elevation,"[93.68183135986328, 65.59783172607422, 93.84329223632812, 90.01994323730469, 61.18299865722656, 67.47417449951172, 104.2597351074219, 88.16868591308594, 113.6051330566406, 102.7527542114258, 81.75701141357422, 91.50196838378906, 94.25721740722656, 89.96885681152344, 96.21031188964844, 90.31078338623047]"
color,green
