name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[24997.744224706446, 24785.49725218882, 31526.885992549203, 35608.94274904197, 36863.975386393744, 32049.821799701247, 25603.7406054699, 46480.13341946969, 27298.456950768494, 21506.612739043238, 40484.986775240905, 14007.975169288271, 24702.580746305495, 27383.311944545152, 19254.229844014353, 30091.49217203587, 2869.952855741243, 27600.113756604635, 28722.40511390559, 30466.471072918215, 16859.16615526341, 4002.485107613067, 9384.510240048774, 41061.837491628874, 16253.302302111297, 24964.044960806765, 6647.522690778047, 35569.82034418897, 13988.64447363351, 10460.604982247036, 25398.084762112485, 35097.63726550142, 12315.44062710098, 21605.753659875747, 39516.33184013845, 31181.907075040403, 31031.575451978286]"
elevation,"[85.55772399902344, 63.46337890625, 72.5665283203125, 64.60342407226562, 66.30726623535156, 87.29711151123047, 117.9739608764648, 66.2071304321289, 85.91865539550781, 106.6128234863281, 65.63887786865234, 101.2087783813477, 106.13720703125, 96.08435821533203, 112.5809020996094, 87.11740112304688, 83.41923522949219, 76.73247528076172, 81.0903549194336, 120.268928527832, 60.12300109863281, 81.40132141113281, 64.00566864013672, 97.43267059326172, 96.4727783203125, 111.2744293212891, 79.66846466064453, 91.69658660888672, 96.06254577636719, 90.02320861816406, 114.7867431640625, 87.00989532470703, 89.53681182861328, 86.331787109375, 86.35951232910156, 79.30929565429688, 115.9370422363281, 79.18058013916016, 100.7251586914062, 108.5333404541016, 61.51774215698242, 96.19295501708984, 79.73526763916016, 67.3306655883789, 65.72210693359375, 91.06172180175781, 101.962760925293, 67.21382141113281, 76.23211669921875, 100.9679870605469, 74.43769073486328, 81.0903549194336, 106.0774688720703, 115.3343734741211, 85.4403076171875, 67.74760437011719, 113.513542175293, 104.0244674682617, 104.6832656860352, 91.32209777832031]"
color,red
