name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[169750.29161579337, 153474.38463538684, 148243.1808743136, 144855.2336857395, 159004.75070749642, 152316.1584812703]"
elevation,"[78.3711929321289, 92.23977661132812, 77.18485260009766, 93.77584838867188, 79.6639175415039, 93.09689331054688, 100.9837036132812, 99.60428619384766, 96.2858657836914, 77.88436889648438, 81.75701141357422, 90.31078338623047, 94.25721740722656, 93.76292419433594, 108.2659912109375, 94.19943237304688]"
color,green
