name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[31132.33272623968, 28739.090252446294, 32715.5163063102, 28413.660248096716, 26694.312325489707, 19360.950965638753, 24944.102038983252, 19391.822682637263, 35716.30335432089, 31576.258338356216, 27749.423214779687, 33147.515529632845, 17865.461083957853, 26585.840510795155, 12232.073073884096, 37556.542207442486, 1788.7618329494594, 8090.318463863828, 17446.90858012341, 6984.169042305031, 34753.64296970522, 19438.54447787439, 27686.390389330107, 29804.178180514155, 32158.207846431254, 14774.53567540809, 25507.85181959348, 43716.583530724325, 9974.58916852735, 35913.88507699076, 4006.933136050692, 22869.621452552965, 26252.135715798155, 26083.098363042514, 26239.472908271902, 36426.964411678295, 43906.0020992535]"
elevation,"[75.99874114990234, 73.9028549194336, 88.36707305908203, 66.35924530029297, 78.6712417602539, 61.81560897827148, 66.68086242675781, 112.1284790039062, 112.2096252441406, 96.98973846435547, 96.4727783203125, 76.07086181640625, 66.92131805419922, 122.349967956543, 64.49210357666016, 96.58848571777344, 93.5774917602539, 109.5356674194336, 68.46467590332031, 84.68277740478516, 90.55548858642578, 97.90214538574219, 94.03607177734375, 93.81158447265625, 83.82154083251953, 100.7717971801758, 96.28038787841797, 104.4639587402344, 97.90214538574219, 80.11135864257812, 79.44637298583984, 106.6128234863281, 86.61162567138672, 102.0068740844727, 70.02952575683594, 87.5723876953125, 91.81019592285156, 67.73746490478516, 77.0042953491211, 62.88092803955078, 84.96895599365234, 84.72830963134766, 108.0918045043945, 74.8348617553711, 76.72977447509766, 91.75314331054688, 106.2728805541992, 86.331787109375, 60.27967834472656, 99.40971374511719, 101.2983551025391, 83.15711975097656, 101.948616027832, 67.87799072265625, 98.02313995361328, 72.99635314941406, 83.42646026611328, 79.73526763916016, 77.44755554199219, 110.0476760864258]"
color,red
