name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[19588.46440020064, 25940.716434871367, 26852.980430701267, 33791.05246630997, 32666.112984124604, 30549.393125435054, 17817.513138738574, 39660.87211003214, 28633.671822617674, 43138.557475982954, 36410.36698593871, 33944.69190790301, 19854.85338953047, 34829.856985628, 11026.9888138906, 37135.56677907136, 29653.20306032237, 27176.82146430295, 20937.87864221956, 11819.677689525952, 7817.8372206600025, 30994.479530870947, 26293.765750950515, 7364.274972776316, 23277.646235106917, 35656.858606193775, 39547.802643322066, 37490.54385138868, 10709.62510523967, 37857.21837920262, 26916.79280697885, 21110.926958498705, 32212.57585837666, 28964.411973087026]"
elevation,"[98.08709716796875, 94.85942840576172, 85.79597473144531, 74.99665832519531, 80.59698486328125, 87.00989532470703, 93.6112289428711, 110.4580917358398, 95.34043884277344, 67.89682006835938, 83.81761169433594, 102.7141494750977, 78.6378173828125, 119.7053375244141, 98.28260803222656, 65.52876281738281, 85.91865539550781, 75.27442932128906, 101.962760925293, 112.1284790039062, 93.50498962402344, 92.42698669433594, 96.69680786132812, 69.97055053710938, 98.97831726074219, 79.66846466064453, 97.11434936523438, 92.50637817382812, 92.2638931274414, 125.3712615966797, 85.15705871582031, 81.51315307617188, 75.31266784667969, 93.01373291015625, 93.00993347167969, 85.67959594726562, 77.61299896240234, 92.29844665527344, 106.0774688720703, 73.4939956665039, 116.4461135864258, 106.6128234863281, 73.14075469970703, 103.0194854736328, 82.72358703613281, 98.67851257324219, 125.0792236328125, 89.37069702148438, 93.05990600585938]"
color,blue
