name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[162227.6401152722, 149814.99908275655, 167584.421377054, 146752.6990305611, 145318.7494249551, 155945.49096940097]"
elevation,"[89.06306457519531, 98.6838607788086, 78.90825653076172, 68.93462371826172, 65.08062744140625, 82.48788452148438, 63.60986709594727, 95.58931732177734, 93.81158447265625, 94.34551239013672, 88.29743194580078, 93.05990600585938, 81.75701141357422, 94.25721740722656, 94.39983367919922, 90.31078338623047]"
color,green
