name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[167066.41135668248, 161800.11863831736, 152884.59722796467, 159924.13386110932, 139364.78392068588, 146603.95499524032]"
elevation,"[100.2910385131836, 99.72673034667969, 66.09325408935547, 60.77999877929688, 100.5024948120117, 84.81912994384766, 111.8048706054688, 63.46337890625, 100.9732971191406, 110.3034286499023, 91.50196838378906, 88.29743194580078, 90.31078338623047, 89.96885681152344, 94.63480377197266, 94.25721740722656]"
color,green
