name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[11928.468800426834, 18704.976909620695, 41527.96484255973, 32716.826120972633, 39772.02685457648, 36179.42499690443, 34063.2304518794, 30160.36478808144, 2442.5644570338713, 18114.810910663047, 19608.958045928306, 49607.92944029469, 24300.256446105792, 29820.904491193633, 10373.150048529911, 32884.93642288155, 38646.316223467686, 31972.543703939813, 45729.62926327228, 13654.48913891986, 8986.899084038721, 31303.231443599754, 35771.19873567429, 7832.144894089256, 29907.837898789945, 11584.672350453915, 33652.53717864735, 40639.43537528971, 37369.77421455357, 30214.770271860016, 19341.69778251028, 14971.272862179547, 23010.506504497105, 40848.24904656446]"
elevation,"[77.75450134277344, 86.9661865234375, 67.77632904052734, 119.2101287841797, 99.22130584716797, 98.02313995361328, 104.9804077148438, 93.70459747314453, 115.1494598388672, 103.2996520996094, 82.86235809326172, 88.46910858154297, 82.24579620361328, 115.0967712402344, 95.040283203125, 64.38890075683594, 69.65025329589844, 101.948616027832, 107.1853561401367, 103.2947463989258, 79.43054962158203, 94.85942840576172, 72.78966522216797, 66.66173553466797, 78.90735626220703, 109.6722259521484, 106.4785308837891, 66.1696548461914, 93.89424133300781, 113.6251907348633, 80.2911605834961, 78.90825653076172, 88.28096008300781, 92.81430053710938, 94.5521240234375, 115.2625122070312, 82.14065551757812, 93.50498962402344, 101.7103576660156, 103.6022872924805, 88.59751892089844, 118.0629577636719, 91.885498046875, 92.75720977783203, 85.08980560302734, 122.1449432373047, 63.56193161010742, 83.42646026611328, 89.03038787841797]"
color,blue
