name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[159924.13386110932, 146603.95499524032, 167066.41135668248, 139364.78392068588, 161800.11863831736, 152884.59722796467]"
elevation,"[89.37995147705078, 90.80284118652344, 86.72636413574219, 103.4525527954102, 77.0042953491211, 88.28096008300781, 99.93321228027344, 78.92845916748047, 101.7506561279297, 92.22705078125, 89.96885681152344, 94.25721740722656, 91.50196838378906, 94.63480377197266, 88.29743194580078, 90.31078338623047]"
color,green
