name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[149633.49911903014, 138178.51665989167, 166620.03999649762, 146452.3798855275, 169461.09389250708, 157298.47044654598]"
elevation,"[65.65341186523438, 97.52143096923828, 83.96394348144531, 89.37995147705078, 65.183837890625, 96.28038787841797, 66.52908325195312, 93.89424133300781, 63.15650939941406, 103.2947463989258, 90.31078338623047, 96.21031188964844, 89.96885681152344, 94.25721740722656, 81.75701141357422, 84.03461456298828]"
color,green
