name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[7821.326298815277, 33759.30553846256, 19990.031965100337, 2301.4225899376534, 32127.070260122026, 33171.33746556837, 27964.873409636137, 25177.793541328996, 13890.81794009467, 41282.442635413674, 22714.85152695044, 6310.913789049963, 38129.256943362336, 35896.82055808082, 35033.8056202109, 10025.393239821218, 34108.07422727937, 33683.60562226763, 45826.71989110375, 35580.37740478081, 37564.357205243774, 6717.910881811601, 42081.81025991887, 42062.68104318916, 17993.03460212923, 43929.854901524945, 34880.81240187298, 36249.25615147894, 42045.56650559484, 24911.79859006944, 38649.95608240528, 0.0, 1579.9790968822533, 24180.741810491774]"
elevation,"[118.0935897827148, 72.67845916748047, 84.03028106689453, 70.02952575683594, 100.4628295898438, 67.17672729492188, 95.09492492675781, 66.47520446777344, 64.76874542236328, 118.0935897827148, 80.95663452148438, 78.92845916748047, 85.4403076171875, 89.7790756225586, 67.54402923583984, 103.103759765625, 87.44390869140625, 72.63301086425781, 67.87932586669922, 93.01373291015625, 81.6122817993164, 100.9732971191406, 76.95634460449219, 98.01853942871094, 102.7527542114258, 98.97199249267578, 111.1710586547852, 90.22052764892578, 75.49977111816406, 80.81111907958984, 122.0868606567383, 118.0629577636719, 83.80098724365234, 98.22630310058594, 83.21049499511719, 78.6712417602539, 97.84284973144531, 97.11434936523438, 78.90825653076172, 81.97993469238281, 89.87957000732422, 91.81019592285156, 114.1827545166016, 104.1343002319336, 64.6692123413086, 123.7596206665039, 66.84955596923828, 67.87799072265625, 81.01724243164062]"
color,blue
