name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[149814.99908275655, 167615.55452688408, 160391.94121536848, 140854.03067501847, 145194.8046092704, 163772.669890702]"
elevation,"[85.15705871582031, 85.48197937011719, 85.48336029052734, 100.5392990112305, 79.33454895019531, 67.74871826171875, 77.44755554199219, 69.32353210449219, 103.2947463989258, 108.2898712158203, 93.05990600585938, 81.75701141357422, 82.89774322509766, 94.25721740722656, 94.39983367919922, 90.31078338623047]"
color,green
