name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[32572.151428016427, 4793.903418956906, 47373.01372992882, 11692.131839378282, 5128.305265496951, 21120.385583259842, 36861.34592320417, 40182.02551323469, 36545.66427899192, 3898.220352286189, 9339.775163981532, 37965.447324455614, 20938.746222703136, 45280.15383981201, 30634.794117328984, 8159.991176920669, 27172.227012686446, 3958.321417061563, 34632.354452994434, 1643.0319025290892, 5509.63278131328, 17224.141013525707, 40377.47942569924, 35335.794225810154, 21128.037562059682, 29291.106842139267, 47345.31509706325, 38342.7937050651, 2360.0899900892823, 28040.817001899704, 21868.406708935232, 2921.5149257903167, 31978.731965308416, 34764.6370578908, 34671.3346006753, 43834.43713563834, 32757.73999786926]"
elevation,"[73.14799499511719, 101.7103576660156, 83.80098724365234, 68.93382263183594, 117.0611724853516, 61.30888366699219, 109.0532073974609, 67.11312103271484, 83.948486328125, 91.885498046875, 122.6951675415039, 88.59530639648438, 75.13184356689453, 97.19723510742188, 90.55548858642578, 89.2109603881836, 103.2996520996094, 103.4525527954102, 64.91080474853516, 84.66060638427734, 81.6485366821289, 115.0237274169922, 119.6061096191406, 104.6832656860352, 104.5109100341797, 102.1387329101562, 84.49390411376953, 118.4817581176758, 125.0792236328125, 86.0000228881836, 116.1438598632812, 76.88751983642578, 107.6487274169922, 98.3543472290039, 99.9918212890625, 97.17668914794922, 114.1827545166016, 108.0233840942383, 87.81309509277344, 87.58928680419922, 83.18280792236328, 104.4639587402344, 99.302490234375, 83.7021713256836, 72.5675048828125, 89.03038787841797, 91.85712432861328, 98.17140197753906, 73.4939956665039, 103.4525527954102, 79.16568756103516, 64.46672058105469, 92.28984832763672, 82.92935943603516, 119.6061096191406, 91.28326416015625, 93.76292419433594, 86.65664672851562, 83.52357482910156, 108.7747497558594]"
color,red
