name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[167489.13315825874, 145318.0257476601, 147606.7454091663, 156610.53363928487, 146752.6990305611, 163866.86301506884]"
elevation,"[121.0952377319336, 79.48906707763672, 75.00651550292969, 83.7535400390625, 63.31244277954102, 85.27742004394531, 76.37033081054688, 102.5439147949219, 62.03200149536133, 84.08094787597656, 81.75701141357422, 94.39983367919922, 93.05990600585938, 88.29743194580078, 94.25721740722656, 90.31078338623047]"
color,green
