name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[10417.83391590546, 25730.87393614537, 25001.304825987896, 27878.626183026456, 24937.153704205262, 23101.39550735846, 9582.397808261028, 20551.05473002647, 32890.32694113018, 31810.124967494765, 24876.682624126268, 12625.108703246964, 14418.979082637801, 32059.404264516077, 15710.904993620446, 26607.483171266867, 2253.8107344180435, 24432.871313425072, 29522.121265193848, 28310.058371340743, 32050.266275209866, 32664.10167364482, 31317.654951089073, 17044.872297870334, 30494.83026744074, 34718.44999470892, 21673.158291291762, 30080.55384771182, 38145.085938652235, 26288.830621356978, 30322.846306636646, 18951.777991942607, 36988.459743716434, 33420.029500980614, 29786.928112177746, 4019.1615966149207, 36958.475545621]"
elevation,"[89.791259765625, 82.83323669433594, 98.6445541381836, 90.31078338623047, 67.24932861328125, 63.31007385253906, 66.61734008789062, 79.67252349853516, 78.80217742919922, 67.10600280761719, 65.4618148803711, 98.36104583740234, 82.57627868652344, 66.55332946777344, 140.8028717041016, 101.4721221923828, 61.69599914550781, 76.54216003417969, 80.63642120361328, 95.88567352294922, 102, 79.43054962158203, 98.44990539550781, 127.8253021240234, 87.01199340820312, 86.65664672851562, 113.3185806274414, 92.04959869384766, 96.19295501708984, 66.14737701416016, 108.0200347900391, 85.20523834228516, 73.40904235839844, 117.4292907714844, 90.59268951416016, 77.08544921875, 84.78217315673828, 92.01995086669922, 95.15796661376953, 65.99955749511719, 83.06501007080078, 88.50922393798828, 98.6129150390625, 103.1244430541992, 102.2091522216797, 90.63846588134766, 73.2950210571289, 112.5830841064453, 69.28287506103516, 77.97451782226562, 119.5057220458984, 120.7061996459961, 88.90335845947266, 88.45304107666016, 71.34111785888672, 79.51825714111328, 84.6922378540039, 96.1438980102539, 67.06400299072266, 84.51054382324219]"
color,red
