name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[159004.75070749642, 169750.29161579337, 144855.2336857395, 148243.1808743136, 153474.38463538684, 152316.1584812703]"
elevation,"[106.1678771972656, 80.2911605834961, 78.58343505859375, 103.3091888427734, 107.972053527832, 82.57627868652344, 83.42991638183594, 101.2983551025391, 60.06399917602539, 87.64222717285156, 108.2659912109375, 81.75701141357422, 93.76292419433594, 94.25721740722656, 90.31078338623047, 94.19943237304688]"
color,green
