name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[150575.56453008112, 161969.7139762597, 162822.2099446536, 165248.07022537256, 146384.71148414927, 140643.7298394838]"
elevation,"[96.95182800292969, 100.9732971191406, 93.28565216064453, 70.97638702392578, 101.7726287841797, 112.5830841064453, 99.79042053222656, 95.10535430908203, 76.42375183105469, 93.5774917602539, 90.31078338623047, 89.96885681152344, 81.75701141357422, 91.50196838378906, 94.25721740722656, 96.21031188964844]"
color,green
