name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[33567.07408797005, 18152.941370866185, 23071.30922591887, 25737.499901593226, 27614.568010161238, 28318.86295063639, 27375.541701788527, 8584.422270596215, 3835.1179567445834, 31055.37173761478, 29899.655625572046, 13139.299023540498, 44066.26765001018, 2981.350316067861, 17309.247251755714, 35360.82355429407, 9086.585250031987, 11789.623307530706, 39422.22517258623, 41132.656835220354, 16140.302581106407, 23997.25866735095, 38841.94590315449, 20561.432186554382, 24402.152065719933, 39273.088039886024, 9396.609079762013, 2405.55034633481, 17224.435235569876, 33529.825044078636, 20282.751218310637, 38270.21553552925, 29695.70148613149, 39496.93942607644, 31101.88891517083, 32454.54003461075, 39068.92103415339]"
elevation,"[108.0918045043945, 115.5641632080078, 86.76349639892578, 79.54296112060547, 64.97893524169922, 75.00651550292969, 97.17230987548828, 101.7042770385742, 75.54595947265625, 114.7867431640625, 117.2580795288086, 83.38584899902344, 91.5968246459961, 90.51066589355469, 106.9355697631836, 88.8578109741211, 81.00533294677734, 62.64648056030273, 97.52903747558594, 91.22756958007812, 66.30252838134766, 75.78303527832031, 105.2558975219727, 95.3828125, 88.9162826538086, 80.65392303466797, 89.63871765136719, 92.00981903076172, 71.45431518554688, 88.46910858154297, 117.9401473999023, 68.30973815917969, 91.22756958007812, 82.45718383789062, 88.49552154541016, 78.6378173828125, 115.4647674560547, 119.7053375244141, 109.6424026489258, 104.6507797241211, 101.4409713745117, 76.60009765625, 106.4785308837891, 85.6441421508789, 83.21049499511719, 83.52357482910156, 66.1696548461914, 68.93024444580078, 97.2056884765625, 75.7879409790039, 67.44491577148438, 112.6708374023438, 88.10702514648438, 85.41455078125, 89.01040649414062, 75.9665298461914, 111.9708862304688, 84.80625915527344, 103.4977188110352, 86.0000228881836]"
color,red
