name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[149633.49911903014, 169930.8119891814, 163371.725858845, 160077.0664875243, 146452.3798855275, 138178.51665989167]"
elevation,"[83.38584899902344, 126.9359664916992, 83.96111297607422, 87.75762939453125, 80.37606811523438, 79.16568756103516, 113.4906616210938, 104.4395217895508, 75.14202880859375, 81.23321533203125, 90.31078338623047, 94.8521957397461, 81.75701141357422, 89.96885681152344, 94.25721740722656, 96.21031188964844]"
color,green
