name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[158939.404819915, 163099.07868112615, 139916.88864947378, 146285.78213527022, 149612.99586818606, 169789.84984602887]"
elevation,"[83.96111297607422, 71.57257080078125, 93.43167877197266, 99.2565689086914, 87.61936950683594, 70.6024169921875, 95.55870056152344, 59.2803955078125, 129.9475860595703, 108.7133636474609, 89.96885681152344, 81.75701141357422, 90.01994323730469, 94.25721740722656, 90.31078338623047, 79.6639175415039]"
color,green
