name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[5913.411799378921, 43080.98262028982, 28216.09608525529, 13277.444494874282, 31200.742471472808, 37228.27224719996, 27101.62842333316, 25245.12190057851, 26241.38876141462, 34050.78935398598, 8015.927827911586, 28845.341091032526, 32098.862115240303, 19598.402055420152, 35696.76446397269, 27266.879408624634, 26503.2979543492, 11011.662027814446, 27456.182009672517, 24875.758918532763, 24998.811156901218, 37297.86116979706, 35258.15368065323, 28728.316297640573, 37288.97801815637, 16924.73917203055, 29427.691349840577, 11674.239771237764, 31993.291882866415, 2377.751082471823, 23857.9806915404, 38892.58101659008, 28719.1622458302, 31705.254437392745, 10006.377130974799, 3915.6658497840863, 21652.189015937936]"
elevation,"[88.0741958618164, 87.81790161132812, 77.61299896240234, 67.89682006835938, 116.7226943969727, 104.6559753417969, 65.40998840332031, 88.58760070800781, 66.72025299072266, 85.17244720458984, 95.65231323242188, 73.14799499511719, 92.5818862915039, 101.4325485229492, 90.79354095458984, 71.09640502929688, 67.8725357055664, 63.96654891967773, 94.85942840576172, 65.54051208496094, 104.4061279296875, 79.6001205444336, 111.8048706054688, 66.09122467041016, 106.6128234863281, 72.78966522216797, 88.59530639648438, 93.3321533203125, 75.36957550048828, 93.68183135986328, 96.95501708984375, 82.92935943603516, 89.08084106445312, 119.2101287841797, 91.11550903320312, 111.9920654296875, 66.0594711303711, 97.17230987548828, 77.00885009765625, 109.3318405151367, 101.1322402954102, 102.4127883911133, 89.48521423339844, 93.84329223632812, 94.67878723144531, 93.19486999511719, 85.30667877197266, 82.72358703613281, 82.65725708007812, 70.02952575683594, 92.14807891845703, 102.3653793334961, 65.15223693847656, 87.12953186035156, 75.00651550292969, 118.9829940795898, 93.81158447265625, 85.5852279663086, 126.4064331054688, 72.20002746582031]"
color,red
