name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[163705.88999683858, 146730.57101870741, 154152.45022343725, 157804.28439354448, 145318.7494249551, 159932.05494251713]"
elevation,"[86.61162567138672, 87.09903717041016, 92.95405578613281, 60.97800064086914, 87.5692367553711, 81.70470428466797, 88.0741958618164, 100.2910385131836, 112.5830841064453, 85.16521453857422, 84.03461456298828, 94.25721740722656, 93.05990600585938, 90.31078338623047, 94.39983367919922, 82.89774322509766]"
color,green
