name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[157148.87495287054, 162795.74675352464, 146384.71148414927, 166695.49375251058, 153975.4432174613, 140643.7298394838]"
elevation,"[96.95501708984375, 89.6551284790039, 84.18302154541016, 122.5401229858398, 104.1343002319336, 109.8567962646484, 94.8521957397461, 82.67204284667969, 71.22937774658203, 90.94251251220703, 84.03461456298828, 81.75701141357422, 94.25721740722656, 89.96885681152344, 90.31078338623047, 87.75762939453125]"
color,green
