name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[156278.75531775752, 132750.4601826593, 167307.25666530037, 158800.95126276268, 139507.68469643145, 172998.89187508865]"
elevation,"[92.22705078125, 82.45718383789062, 102.2494659423828, 85.46397399902344, 95.39720916748047, 74.78013610839844, 85.4403076171875, 94.82107543945312, 114.4897232055664, 111.7689056396484, 79.16568756103516, 80.81111907958984, 82.89774322509766, 102.3653793334961, 93.05990600585938, 103.9628524780273]"
color,green
