name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[25254.221886052874, 16075.467849177478, 34144.578747855194, 22529.02850688309, 10748.94897390596, 26366.0857320416, 40404.20218568176, 20257.32564746878, 36681.13921901083, 34413.52266437357, 33589.866736484444, 35264.723410308914, 40399.79673556125, 28824.73155549158, 36402.46906382134, 29066.982429397318, 26600.42373224694, 38316.13686303809, 33684.20342896786, 24794.334426044366, 32401.904008488942, 39796.329831445226, 20911.26159769981, 26462.518344407647, 4139.573513254289, 32203.68089358193, 17061.379028578245, 36912.763777150445, 22607.588189249196, 18446.897846410186, 22247.638755593485, 21699.664245363845, 12659.791153115697, 26274.81902184782]"
elevation,"[87.71031188964844, 72.71588897705078, 96.65864562988281, 82.45718383789062, 96.15861511230469, 102.7527542114258, 99.22130584716797, 113.4906616210938, 132.2421112060547, 92.2638931274414, 74.01038360595703, 79.6639175415039, 97.06817626953125, 92.23977661132812, 93.6189193725586, 73.4939956665039, 59.77299880981445, 89.7608642578125, 79.06867218017578, 84.0421371459961, 90.46481323242188, 84.6922378540039, 81.56317901611328, 104.6832656860352, 80.81111907958984, 94.04635620117188, 83.6648941040039, 94.25721740722656, 82.63525390625, 98.22630310058594, 94.33114624023438, 116.1225814819336, 83.16873931884766, 76.37033081054688, 86.72410583496094, 107.6625366210938, 123.7596206665039, 98.13143920898438, 95.447021484375, 65.4531021118164, 87.80364990234375, 108.9843444824219, 91.11550903320312, 98.36104583740234, 109.238410949707, 81.33153533935547, 80.91004943847656, 97.05193328857422, 97.11541748046875]"
color,blue
