name,Gas
supplyname,Gas Gate Station
tranname,Regulator Station
demandname,Other
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[160413.4513793981, 157750.6745672988, 149814.99908275655, 167615.55452688408, 145318.7494249551, 146730.57101870741]"
elevation,"[100.2910385131836, 75.78303527832031, 76.2518081665039, 96.21073150634766, 80.15778350830078, 70.4090347290039, 92.00981903076172, 106.0774688720703, 90.60174560546875, 91.2485580444336, 82.89774322509766, 90.31078338623047, 93.05990600585938, 81.75701141357422, 94.39983367919922, 94.25721740722656]"
color,green
