name,Power
supplyname,Power Gate Station
tranname,23kv Substation
demandname,12kv Substation
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[5809.3610624661615, 22808.5161440538, 9302.624651069827, 19663.899678951795, 29653.844983309424, 29589.13855343614, 17915.640366997402, 28636.1941000991, 28486.235935528803, 28854.95197509751, 5578.226979715807, 33890.88353052728, 31537.380188923107, 24430.775676897683, 21379.491039765915, 23958.31777703184, 29027.403881120095, 24299.921126261146, 27091.34440816404, 31496.159597225083, 30432.816363752274, 18031.659527459786, 31439.903378709627, 20962.691385133025, 34227.76967173778, 29939.519709845772, 27406.064845934896, 18719.11824738402, 28944.075878117106, 25845.448638746882, 24337.59646708556, 35104.04980101873, 23360.13077915679, 39400.27112225767, 32655.41729623537, 9403.107613623799, 24024.047617158976]"
elevation,"[64.49256134033203, 91.97647094726562, 63.4560432434082, 104.0244674682617, 108.1484298706055, 66.31600952148438, 85.2718505859375, 81.1453857421875, 110.1579360961914, 119.601203918457, 92.56070709228516, 60.19699859619141, 94.25721740722656, 78.59162139892578, 109.0270080566406, 88.46286010742188, 89.02945709228516, 84.57763671875, 94.8521957397461, 115.3952331542969, 99.60428619384766, 80.20835876464844, 123.8729248046875, 76.72977447509766, 80.11135864257812, 126.5123291015625, 80.20835876464844, 94.19943237304688, 95.58931732177734, 96.04592895507812, 85.4403076171875, 81.47795104980469, 104.9804077148438, 67.16410064697266, 82.14065551757812, 88.79154968261719, 86.72636413574219, 87.97493743896484, 83.06501007080078, 65.59783172607422, 76.73247528076172, 102.5439147949219, 84.51260375976562, 103.6523056030273, 108.0200347900391, 96.79705047607422, 82.92935943603516, 73.65798950195312, 98.22198486328125, 118.0629577636719, 101.2341613769531, 107.972053527832, 123.606086730957, 68.80994415283203, 94.63480377197266, 69.28287506103516, 90.25759887695312, 107.2673797607422, 89.11531829833984, 77.95928192138672]"
color,red
