name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[165191.91388407742, 162328.79721847386, 146407.31969586972, 150678.09762056792, 167075.2896493472, 135962.58193166394]"
elevation,"[84.81912994384766, 80.2555160522461, 62.27145385742188, 90.46481323242188, 94.8521957397461, 109.82080078125, 76.70394897460938, 132.2421112060547, 65.5214614868164, 63.56193161010742, 81.75701141357422, 91.50196838378906, 94.25721740722656, 90.31078338623047, 89.96885681152344, 96.21031188964844]"
color,green
