name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[167075.2896493472, 146407.31969586972, 162328.79721847386, 135962.58193166394, 150678.09762056792, 165191.91388407742]"
elevation,"[89.66757202148438, 80.49168395996094, 75.76913452148438, 90.94251251220703, 83.52357482910156, 101.7583465576172, 65.4473648071289, 123.8729248046875, 108.8954772949219, 84.03461456298828, 89.96885681152344, 94.25721740722656, 91.50196838378906, 96.21031188964844, 90.31078338623047, 81.75701141357422]"
color,green
