name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[165248.07022537256, 150575.56453008112, 165215.68232836394, 146456.45228003108, 161969.7139762597, 138178.51665989167]"
elevation,"[82.48788452148438, 92.66064453125, 80.20835876464844, 98.5147933959961, 75.65421295166016, 65.00570678710938, 103.865608215332, 80.81111907958984, 85.88287353515625, 60.38272857666016, 91.50196838378906, 90.31078338623047, 81.75701141357422, 94.25721740722656, 89.96885681152344, 96.21031188964844]"
color,green
