name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[30405.03296986001, 21306.55864074234, 34714.09233159393, 18865.376740494336, 4161.212130583945, 21195.647438082768, 2329.8331356015683, 25637.691963939935, 20584.96375155524, 25599.92198319016, 30099.451445669984, 37591.62636601253, 33408.34486595745, 26909.459707650974, 30709.431132737813, 29234.875969180142, 36217.444483945015, 17475.75845926539, 25031.457906396205, 23244.02425151443, 31843.047357560576, 12756.257614539925, 27378.949113858605, 32951.19615637863, 18432.70401187404, 10013.285849972965, 31556.248267557312, 32791.65800431479, 24111.74417574748, 34705.4477582145, 33719.51381115709, 37330.273844342904, 37064.633468597895, 0.0, 33361.31904463802, 17712.749852247263, 17192.765995023838]"
elevation,"[111.974365234375, 72.78966522216797, 87.99305725097656, 114.4897232055664, 86.09281158447266, 64.80397033691406, 96.08435821533203, 66.26507568359375, 115.4794235229492, 108.7133636474609, 76.73247528076172, 110.1579360961914, 81.5024642944336, 93.94444274902344, 81.02777862548828, 94.5521240234375, 67.74871826171875, 102.2494659423828, 106.6243438720703, 63.37488174438477, 61.51774215698242, 102.1671371459961, 89.95929718017578, 91.680908203125, 99.28561401367188, 95.15846252441406, 85.35872650146484, 65.91082763671875, 60.97800064086914, 66.36383056640625, 94.0855484008789, 94.33367156982422, 79.66846466064453, 89.7608642578125, 75.9665298461914, 73.81196594238281, 119.5057220458984, 93.84329223632812, 91.97073364257812, 93.00920104980469, 95.82450103759766, 83.68351745605469, 87.97493743896484, 121.1611862182617, 85.5852279663086, 97.07615661621094, 94.70497131347656, 88.23526763916016, 60.50600051879883, 86.65664672851562, 96.58848571777344, 83.06501007080078, 76.51537322998047, 76.23091888427734, 96.28038787841797, 95.040283203125, 64.61329650878906, 97.85739135742188, 92.58930206298828, 116.5338745117188]"
color,red
