name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[117669.63138380766, 140951.87554869166, 141970.9449195688, 127737.33078479653, 116641.2116162094, 282673.005746926]"
elevation,"[112.5830841064453, 66.09325408935547, 97.94837188720703, 83.42991638183594, 64.83243560791016, 93.68183135986328, 95.97944641113281, 116.3982238769531, 113.6918563842773, 70.89645385742188, 115.9370422363281, 130.7082824707031, 111.3246078491211, 113.6051330566406, 110.1579360961914, 89.08084106445312]"
color,green
