name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[146456.45228003108, 161969.7139762597, 138178.51665989167, 165248.07022537256, 150575.56453008112, 165215.68232836394]"
elevation,"[113.1711578369141, 71.45431518554688, 91.50196838378906, 81.5024642944336, 83.04390716552734, 75.00651550292969, 80.49168395996094, 109.2554931640625, 83.49321746826172, 88.55738067626953, 94.25721740722656, 89.96885681152344, 96.21031188964844, 91.50196838378906, 90.31078338623047, 81.75701141357422]"
color,green
