name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[6422.092350599444, 35406.02234701036, 32730.593010368964, 4013.3221577762656, 33642.085289918854, 44941.19240259172, 39622.897890500295, 29885.30141186213, 14143.510447566568, 37143.32742151901, 30695.827543121424, 47184.88217687634, 34219.62177705782, 9111.558012351707, 26907.594586614076, 18174.91386854072, 35019.03556908764, 33519.8719189585, 18046.03883374843, 25868.17795913971, 36090.37467630661, 30195.755585311555, 31279.488533080803, 9765.214906019273, 46079.344157395644, 1330.6783600385172, 28574.618494950013, 38961.08329333814, 1610.1705181004554, 32651.16775173578, 35936.03735029011, 19457.552243820588, 26724.413504518005, 32290.233649884547]"
elevation,"[92.42698669433594, 59.25742721557617, 82.72358703613281, 60.35152053833008, 93.81158447265625, 99.34980773925781, 77.1715316772461, 88.80118560791016, 88.33148956298828, 78.59162139892578, 124.3350448608398, 94.9385757446289, 86.1666259765625, 103.1508483886719, 93.04190826416016, 96.23624420166016, 77.1715316772461, 117.4514389038086, 65.17454528808594, 82.24579620361328, 111.2744293212891, 84.80625915527344, 89.08084106445312, 87.39773559570312, 118.0935897827148, 78.92845916748047, 103.4525527954102, 109.1662673950195, 79.54296112060547, 66.0594711303711, 72.77503204345703, 80.11135864257812, 103.1508483886719, 83.06047058105469, 88.33148956298828, 94.24008178710938, 83.69719696044922, 74.8348617553711, 87.29664611816406, 89.66757202148438, 103.3879852294922, 98.91039276123047, 117.508903503418, 113.0920715332031, 95.06111907958984, 79.43054962158203, 60.37099838256836, 103.3249435424805, 87.81790161132812]"
color,blue
