name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[135819.89539910632, 146421.89230209868, 163993.18532572233, 160069.10099362629, 173747.63648209278, 147592.28949735366]"
elevation,"[92.22705078125, 88.06868743896484, 66.0837631225586, 91.90907287597656, 94.19943237304688, 83.38584899902344, 77.07868957519531, 100.7312850952148, 78.89694213867188, 95.15796661376953, 96.21031188964844, 94.25721740722656, 81.75701141357422, 89.96885681152344, 94.8521957397461, 90.31078338623047]"
color,green
