name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[148243.1808743136, 152316.1584812703, 144855.2336857395, 153474.38463538684, 159004.75070749642, 169750.29161579337]"
elevation,"[93.2017822265625, 67.11312103271484, 71.45431518554688, 92.6253433227539, 73.2457046508789, 88.28096008300781, 88.36351776123047, 118.7704086303711, 74.83297729492188, 58.76936721801758, 94.25721740722656, 94.19943237304688, 93.76292419433594, 90.31078338623047, 108.2659912109375, 81.75701141357422]"
color,green
