name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[140643.7298394838, 146384.71148414927, 150575.56453008112, 161969.7139762597, 162822.2099446536, 165248.07022537256]"
elevation,"[90.59268951416016, 85.41704559326172, 86.11946868896484, 71.84623718261719, 109.0270080566406, 100.9679870605469, 86.11946868896484, 92.5818862915039, 91.75314331054688, 97.17668914794922, 87.75762939453125, 94.25721740722656, 90.31078338623047, 89.96885681152344, 81.75701141357422, 91.50196838378906]"
color,green
