name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[155307.4409431153, 158224.89350979903, 167417.9682215655, 148243.1808743136, 145797.81808887178, 152652.6983623348]"
elevation,"[89.20548248291016, 74.94701385498047, 81.41223907470703, 87.81309509277344, 93.76292419433594, 94.41462707519531, 64.90995025634766, 108.2659912109375, 88.1078872680664, 108.3063049316406, 90.31078338623047, 108.2659912109375, 84.03461456298828, 94.25721740722656, 93.76292419433594, 94.19943237304688]"
color,green
