name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[25047.6511172741, 26761.032292160402, 27687.848683495857, 18984.693978916086, 3308.9946883828643, 39265.48025969992, 28355.039093168776, 28447.599637931406, 30762.72975614679, 27241.009185829836, 29913.40739040433, 32875.11886412552, 28119.437218033487, 3899.0587681536313, 31559.45084086784, 14307.47845315722, 32720.040909202027, 23599.90905112453, 30461.247429552, 19520.285860780255, 47495.41384305743, 40918.38653114713, 22119.741036042426, 11392.677276917293, 27088.219502448144, 27450.435184446837, 35619.87389945055, 18632.77624913586, 38049.110186810605, 11473.276696995566, 31532.128307015315, 19945.551890232415, 35678.675504771185, 9307.435420758324, 15285.262610061589, 6525.756954391345, 26291.76542791111]"
elevation,"[105.4298095703125, 105.7850494384766, 86.94876861572266, 94.09367370605469, 93.76292419433594, 61.94200134277344, 80.63642120361328, 88.45304107666016, 72.0140151977539, 102.1719436645508, 101.2427291870117, 63.96754837036133, 83.38584899902344, 87.5692367553711, 83.52357482910156, 91.1485366821289, 60.19699859619141, 63.99348068237305, 112.7855834960938, 119.8786087036133, 87.00652313232422, 85.60298919677734, 66.95001983642578, 112.7855834960938, 79.33454895019531, 88.29743194580078, 60.94126892089844, 66.26507568359375, 86.77964782714844, 88.10702514648438, 103.2796783447266, 102.1719436645508, 97.52143096923828, 76.60009765625, 84.18302154541016, 87.63103485107422, 64.29190826416016, 97.27339172363281, 91.3288345336914, 88.46286010742188, 91.97073364257812, 102.4127883911133, 92.28984832763672, 115.4630508422852, 123.7596206665039, 82.45718383789062, 65.78700256347656, 94.41462707519531, 92.00961303710938, 79.43054962158203, 129.0658416748047, 84.71629333496094, 93.66350555419922, 83.69719696044922, 61.51774215698242, 91.32209777832031, 119.8030853271484, 108.0956726074219, 99.34980773925781, 80.2911605834961]"
color,red
