name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[144855.2336857395, 153474.38463538684, 169750.29161579337, 148243.1808743136, 159004.75070749642, 152316.1584812703]"
elevation,"[88.76046752929688, 79.73526763916016, 88.16868591308594, 65.61829376220703, 114.6575698852539, 103.1508483886719, 66.82588958740234, 91.64038848876953, 62.29736709594727, 69.25362396240234, 93.76292419433594, 90.31078338623047, 81.75701141357422, 94.25721740722656, 108.2659912109375, 94.19943237304688]"
color,green
